ip,date,time,zone,cik,accession,extention,code,size,idx,norefer,noagent,find,crawler,browser
12.38.196.jdj,2003-01-03,14:38:26,500.0,894490.0,0001021408-02-008917,.txt,200.0,32998.0,0.0,0.0,0.0,10.0,0.0,win
12.38.196.jdj,2003-01-03,14:38:33,500.0,9892.0,0000009892-02-000016,.txt,200.0,59280.0,0.0,0.0,0.0,10.0,0.0,win
12.38.196.jdj,2003-01-03,14:53:55,500.0,18926.0,0000018926-02-000013,.txt,200.0,27080.0,0.0,0.0,0.0,10.0,0.0,win
12.38.196.jdj,2003-01-03,14:54:07,500.0,873364.0,0000950168-02-001796,.txt,200.0,34831.0,0.0,0.0,0.0,10.0,0.0,win
12.38.196.jdj,2003-01-03,14:54:19,500.0,215403.0,0000950152-02-005111,.txt,200.0,253830.0,0.0,0.0,0.0,10.0,0.0,win
12.38.196.jdj,2003-01-03,14:54:26,500.0,1058438.0,0001065407-02-000257,.txt,200.0,23171.0,0.0,0.0,0.0,10.0,0.0,win
12.38.196.jdj,2003-01-03,14:54:32,500.0,814068.0,9999999997-02-035512,.txt,200.0,1691.0,0.0,0.0,0.0,10.0,0.0,win
12.38.196.jdj,2003-01-03,14:54:37,500.0,777491.0,0000777491-02-000048,.txt,200.0,61194.0,0.0,0.0,0.0,10.0,0.0,win
12.38.196.jdj,2003-01-03,14:54:45,500.0,820757.0,0000912057-02-022706,.txt,200.0,62680.0,0.0,0.0,0.0,10.0,0.0,win
12.38.196.jdj,2003-01-03,14:54:49,500.0,949341.0,0000950152-02-005169,.txt,200.0,28317.0,0.0,0.0,0.0,10.0,0.0,win
12.38.196.jdj,2003-01-03,14:54:56,500.0,911215.0,0000899681-02-000223,.txt,200.0,18341.0,0.0,0.0,0.0,10.0,0.0,win
12.38.196.jdj,2003-01-03,14:55:02,500.0,911215.0,0000899681-01-500153,.txt,200.0,30276.0,0.0,0.0,0.0,10.0,0.0,win
12.38.196.jdj,2003-01-03,14:55:17,500.0,1026601.0,0000950134-02-007824,.txt,200.0,35478.0,0.0,0.0,0.0,10.0,0.0,win
12.38.196.jdj,2003-01-03,15:36:41,500.0,928658.0,0001008886-02-000037,.txt,200.0,27497.0,0.0,0.0,0.0,10.0,0.0,win
12.38.196.jdj,2003-01-03,15:36:47,500.0,1054833.0,0001054833-01-500020,.txt,200.0,53135.0,0.0,0.0,0.0,10.0,0.0,win
12.38.196.jdj,2003-01-03,15:36:52,500.0,1018522.0,0000950168-02-000732,.txt,200.0,50960.0,0.0,0.0,0.0,10.0,0.0,win
12.38.196.jdj,2003-01-03,15:37:04,500.0,849395.0,9999999997-02-035463,.txt,200.0,1449.0,0.0,0.0,0.0,10.0,0.0,win
12.38.196.jdj,2003-01-03,15:37:08,500.0,847322.0,0000847322-02-000014,.txt,200.0,26436.0,0.0,0.0,0.0,10.0,0.0,win
12.38.196.jdj,2003-01-03,15:37:13,500.0,1091862.0,0001091862-02-000016,.txt,200.0,35813.0,0.0,0.0,0.0,10.0,0.0,win
12.38.196.jdj,2003-01-03,15:37:24,500.0,25895.0,0000950134-02-007672,.txt,200.0,9498.0,0.0,0.0,0.0,10.0,0.0,win
12.38.196.jdj,2003-01-03,15:37:29,500.0,1051848.0,0000950153-02-001179,.txt,200.0,122476.0,0.0,0.0,0.0,10.0,0.0,win
12.38.196.jdj,2003-01-03,16:27:00,500.0,703559.0,0000927796-01-500035,.txt,200.0,37903.0,0.0,0.0,0.0,10.0,0.0,win
12.38.196.jdj,2003-01-03,16:27:06,500.0,703559.0,0000927796-00-000101,.txt,200.0,34226.0,0.0,0.0,0.0,10.0,0.0,win
12.38.196.jdj,2003-01-03,16:27:22,500.0,728535.0,0000950134-02-007737,.txt,200.0,154310.0,0.0,0.0,0.0,10.0,0.0,win
12.38.196.jdj,2003-01-03,16:27:26,500.0,728535.0,0000912057-01-521842,.txt,200.0,44644.0,0.0,0.0,0.0,10.0,0.0,win
